Insee - Statistiques locales; ; 
Référentiel géographique : France par zone d'emploi 2020; ; 
Code;Libellé;Indice de vieillissement 2022
0051;Alençon;114.3
0052;Arles;105.4
0053;Avignon;90.5
0054;Beauvais;71.1
0055;Bollène-Pierrelatte;93.9
0056;Cosne-Cours-sur-Loire;179.4
0057;Dreux;71.8
0058;La Vallée de la Bresle-Vimeu;131.8
0059;Mâcon;104.2
0060;Nevers;145.2
0061;Nogent-le-Rotrou;135.1
0062;Redon;108.8
0063;Ussel;175.7
0064;Valréas;174.1
0101;Côte sous le vent;150.3
0102;Est Grande Terre;98.9
0103;Marie-Galante;147.1
0104;Région Pointoise;76.1
0105;Sud Basse-Terre;114.2
0201;Le Centre-Atlantique;110.5
0202;Le Centre agglomération;96.8
0203;Le Nord-Atlantique;160.3
0204;Le Nord-Caraibe;125.7
0205;Le Sud;125.4
0206;Le Sud-Caraibe;98.2
0301;Est-littoral;22.1
0302;Ouest-Guyanais;6.3
0303;Savanes;17.1
0401;L'Est;36.8
0402;L'Ouest;46.5
0403;Le Nord;45.1
0404;Le Sud;47.7
0601;Mayotte;N/A - résultat non disponible
1101;Cergy-Vexin;51.1
1102;Coulommiers;70
1103;Étampes;66.7
1104;Évry-Courcouronnes;50.9
1105;Fontainebleau-Nemours;87.8
1106;Marne-la-Vallée;51.3
1107;Meaux;50.8
1108;Melun;54.1
1109;Paris;65.6
1110;Provins;79.2
1111;Rambouillet;86.3
1112;Roissy;46.6
1113;Saclay;60.4
1114;Seine-Yvelinoise;59.4
1115;Versailles-Saint-Quentin;64.1
2401;Blois;102.2
2402;Bourges;117.3
2403;Chartres;82.2
2404;Châteaudun;125.6
2405;Châteauroux;144.3
2406;Chinon;132.1
2407;Gien;122.5
2408;Loches;166.5
2409;Montargis;104.8
2410;Orléans;74.7
2411;Pithiviers;84.8
2412;Romorantin-Lanthenay;152.3
2413;Tours;91.1
2414;Vendôme;139.8
2415;Vierzon;135.1
2701;Autun;162
2702;Auxerre;118.2
2703;Avallon;189.7
2704;Beaune;115.5
2705;Belfort;91.8
2706;Besançon;85.3
2707;Chalon-sur-Saône;108.2
2708;Charolais;171.7
2709;Châtillon-Montbard;146.9
2710;Creusot-Montceau;142.5
2711;Dijon;88.5
2712;Dole;109.1
2713;Lons-le-Saunier;133.9
2714;Montbéliard;97.8
2715;Pontarlier;67
2716;Saint-Claude;94.7
2717;Sens;96.1
2718;Vesoul;115.5
2801;Argentan;123.2
2802;Avranches;134.2
2803;Bernay;113.6
2804;Caen;92.3
2805;Cherbourg-en-Cotentin;105.7
2806;Coutances;143.7
2807;Dieppe-Caux maritime;107
2808;Évreux;80.1
2809;Flers;138.5
2810;Granville;174.3
2811;Honfleur Pont-Audemer;110.3
2812;L'Aigle;132.8
2813;Le Havre;87.3
2814;Lisieux;120.9
2815;Rouen;78.6
2816;Saint-Lô;107.6
2817;Vernon-Gisors;79.3
2818;Vire Normandie;120.9
2819;Yvetot-Vallée du Commerce;80
3201;Abbeville;117.9
3202;Amiens;78.9
3203;Arras;81.4
3204;Berck;120.8
3205;Béthune;78.6
3206;Boulogne-sur-Mer;86.7
3207;Calais;72.9
3208;Cambrai;86.8
3209;Château-Thierry;83.6
3210;Compiègne;78.4
3211;Creil;64.2
3212;Douai;77.1
3213;Dunkerque;84
3214;Laon;85.3
3215;Lens;68.6
3216;Lille;64.4
3217;Maubeuge;81.9
3218;Roubaix-Tourcoing;56.3
3219;Saint-Omer;81.1
3220;Saint-Quentin;91.9
3221;Soissons;81.3
3222;Valenciennes;70.3
4401;Bar-le-Duc;127.9
4402;Châlons-en-Champagne;88.6
4403;Charleville-Mézières;99.2
4404;Chaumont;134.9
4405;Colmar;104.1
4406;Épernay;109.7
4407;Épinal;108.4
4408;Forbach;103
4409;Haguenau;101.2
4410;Metz;88.1
4411;Mulhouse;89.2
4412;Nancy;87.5
4413;Reims;76.9
4414;Remiremont;146.7
4415;Romilly-sur-Seine;99.8
4416;Saint-Avold;103.3
4417;Saint-Dié-des-Vosges;124.9
4418;Saint-Louis;85.5
4419;Sarrebourg;113.2
4420;Sarreguemines;120.9
4421;Sedan;106.1
4422;Sélestat;92.8
4423;Strasbourg;78.4
4424;Thionville;80.2
4425;Troyes;94.2
4426;Verdun;105.2
4427;Vitry-le-François Saint-Dizier;113.2
5201;Ancenis;74.5
5202;Angers;77
5203;Challans;167.1
5204;Château-Gontier-sur-Mayenne;95
5205;Châteaubriant;78.7
5206;Cholet;83
5207;Fontenay-le-Comte;138.9
5208;La Ferté-Bernard;120.6
5209;La Flèche;107.1
5210;La Roche-sur-Yon;76.6
5211;Laval;87.3
5212;Le Mans;90.7
5213;Les Herbiers-Montaigu;72.8
5214;Les Sables-d'Olonne;204.2
5215;Mayenne;112.5
5216;Nantes;64.9
5217;Pornic;133
5218;Sablé-sur-Sarthe;88.2
5219;Saint-Nazaire;111.4
5220;Saumur;105
5221;Segré-en-Anjou Bleu;82.5
5301;Auray;141.7
5302;Brest;90.2
5303;Carhaix-Plouguer;161.7
5304;Dinan;123.8
5305;Fougères;96.2
5306;Guingamp;112.7
5307;Lamballe-Armor;118.1
5308;Lannion;173.3
5309;Lorient;120.4
5310;Morlaix;119.3
5311;Ploërmel;107.1
5312;Pontivy-Loudéac;104.3
5313;Quimper;138.8
5314;Quimperlé;122.7
5315;Rennes;61.8
5316;Saint-Brieuc;105
5317;Saint-Malo;140.5
5318;Vannes;121.8
5319;Vitré;68.5
7501;Agen;111
7502;Angoulême;126
7503;Bayonne;130.3
7504;Bergerac;161.5
7505;Bordeaux;78.3
7506;Bressuire;109.3
7507;Brive-la-Gaillarde;132.8
7508;Châtellerault;120.1
7509;Cognac;136.9
7510;Dax;132.1
7511;Guéret;177.1
7512;La Rochelle;118.1
7513;La Teste-de-Buch;137.5
7514;Langon;102.4
7515;Lesparre-Médoc;118.3
7516;Libourne;99.7
7517;Limoges;115.2
7518;Marmande;145
7519;Mont-de-Marsan;121.1
7520;Niort;108.7
7521;Oloron-Sainte-Marie;147.3
7522;Pau;108.3
7523;Périgueux;155.4
7524;Poitiers;92.4
7525;Rochefort;128.3
7526;Royan;267
7527;Saint-Junien;185.3
7528;Saintes;143.4
7529;Sarlat-la-Canéda;198.4
7530;Thouars;128.5
7531;Tulle;178.2
7532;Villeneuve-sur-Lot;151.3
7601;Agde-Pézenas;156.4
7602;Albi;120.2
7603;Alès-Le Vigan;139.8
7604;Auch;155.8
7605;Bagnols-sur-Cèze;107.4
7606;Béziers;123.4
7607;Cahors;173.5
7608;Carcassonne-Limoux;128.5
7609;Castelsarrasin-Moissac;113.8
7610;Castres-Mazamet;133.2
7611;Figeac-Villefranche;164.8
7612;Foix-Pamiers;128.1
7613;Mende;127.3
7614;Millau;143.5
7615;Montauban;90.6
7616;Montpellier;84.5
7617;Narbonne;133.4
7618;Nîmes;91.5
7619;Nord-du-Lot;180.7
7620;Perpignan;128.9
7621;Rodez;130.1
7622;Saint-Gaudens;158.9
7623;Sète;143.5
7624;Tarbes-Lourdes;143.2
7625;Toulouse;66.6
8401;Annecy;80.9
8402;Aubenas;139.3
8403;Aurillac;141.7
8404;Belley;109.6
8405;Bourg-en-Bresse;83.1
8406;Bourgoin-Jallieu;66.1
8407;Chambéry;92.5
8408;Clermont-Ferrand;91
8409;Grenoble;80.9
8410;Issoire;120.7
8411;La Maurienne;125.6
8412;La Plaine du Forez;109.5
8413;La Tarentaise;95.3
8414;La Vallée de l'Arve;68.2
8415;Le Chablais;81.1
8416;Le Genevois Français;54.3
8417;Le Livradois;138.6
8418;Le Mont Blanc;106.6
8419;Le Puy-en-Velay;133
