Libelle;Densite de generalistes lib. 2024;Densite de population (historique depuis 1876) en 2022.;Part des personnes agees de 75 ans ou plus, 2022;Taux d'activité par tranche d'âge (25 à 59 ans), 2022;Part des ménages fiscaux imposés, 2021;Part des actifs occupés de 15 ans ou plus qui utilisent principalement les transports en commun pour aller travailler, 2022;Présence d'une faculté de médecine;Part de bénéf. de produits pharma dans la pop 2024;Densité d'infirmiers lib. 2024;Densité de kinés lib. 2024;Indice de vieillissement 2022
ZONE;DENS_MED_LIB;DENSITE;PART_75;TAUX_ACTIV;PART_IMPOT;PART_TRANS_COMM;UNIV;PART_PHARMA;DENS_INF;DENS_KIN;IND_VIEIL
Alencon;5.5;52.7;12.4;90.8;46;2.4;0;89.9;13;6.7;114.3
Arles;9.1;73.6;11.3;85.7;46;3.5;0;97.7;24.2;12;105.4
Avignon;8.7;425.3;10.4;88.1;48.1;5.4;0;97.5;20.8;12.8;90.5
Beauvais;5.8;99.1;7.9;91;53.7;7.2;0;93.4;10.4;5.2;71.1
Bollene-Pierrelatte;5.8;117.4;10.6;89.3;49.3;1.9;0;95.3;16.9;8.9;93.9
Cosne-Cours-sur-Loire;6;24.3;15.6;90.5;47;2.2;0;86.2;14.8;9;179.4
Dreux;3.9;103.6;8.4;91.1;54.5;7.5;0;89.6;8.4;4.8;71.8
La Vallee de la Bresle-Vimeu;7.3;90.9;12.1;90.4;45.2;1.2;0;92.7;16.8;5.5;131.8
Macon;6.7;100.9;11.2;92.5;53.1;3.6;0;94;16;8.9;104.2
Nevers;5.6;37.9;13.8;88.2;46.6;3.4;0;89.7;13.9;6.7;145.2
Nogent-le-Rotrou;5.8;34.7;13.6;92.5;48.2;4.8;0;84.9;11.9;5.5;135.1
Redon;5.8;64.8;10.9;93.1;44.4;3;0;92.2;12.7;7.6;108.8
Ussel;7.1;17;15.1;91.2;43.4;1;0;86.9;25.3;11.8;175.7
Valreas;8.8;31.8;15;90.7;45.5;1.6;0;91.2;25.9;15.3;174.1
Cote sous le vent;8.8;119.1;12.6;80.7;NA;9.1;0;93.3;33.8;20;150.3
Est Grande Terre;8.3;162.3;9.4;85.9;NA;3.1;0;92.8;36.2;25.4;98.9
Marie-Galante;7.7;66;13.7;81.8;NA;4.1;0;88.1;29.7;17.3;147.1
Region Pointoise;8.2;335.6;8.3;86;NA;5.6;0;91.8;27.5;23.5;76.1
Sud Basse-Terre;9;229;11.2;84;NA;5.8;0;90.8;35.8;19.4;114.2
Le Centre-Atlantique;7.8;300.7;11;87.9;31.1;6.3;0;91.3;33.1;24.3;110.5
Le Centre agglomeration;10.9;879.1;10.2;86.6;39.9;8.2;0;91.6;31.4;21.3;96.8
Le Nord-Atlantique;5.1;107.1;14.5;82.1;20.3;9.2;0;90.5;41.6;17.3;160.3
Le Nord-Caraibe;10.7;106.3;11.6;86.7;33.4;8.4;0;84.4;38.9;23.7;125.7
Le Sud;7.7;247.3;11.3;85.3;31.2;5.6;0;92.8;33.2;22.8;125.4
Le Sud-Caraibe;7.9;313.1;8.5;85.3;39.6;5.8;0;87.6;25.2;28.1;98.2
Est-littoral;4.5;5.3;2.9;80.2;NA;3.4;1;80.6;17.3;5.6;22.1
Ouest-Guyanais;1.6;2.4;1;65.9;NA;1.4;0;58.2;4.1;0.8;6.3
Savanes;3.4;2.4;2.2;81.5;NA;2.6;0;NA;10.3;4.1;17.1
L'Est;8.3;175.3;4.5;80.4;23.7;4.3;0;98.3;26.8;12.3;36.8
L'Ouest;12.2;407.7;5.1;83.9;34.2;5.1;0;99.8;21.2;22;46.5
Le Nord;9.1;752.5;5.5;85.6;35.9;10.5;1;95.9;21.4;19.9;45.1
Le Sud;11.3;336;5.6;84.7;28.5;3.9;0;98.3;25.9;22.5;47.7
Mayotte;1.2;NA;NA;NA;NA;NA;0;33.8;6.4;2.8;N/A - résultat non disponible
Cergy-Vexin;5.8;756.2;6.2;91;64.8;33.7;0;95.1;7.9;7.3;51.1
Coulommiers;4.2;111.1;8;93;58;14.5;0;93.9;10.9;5;70
etampes;4.7;148.2;8;92.8;65;19.4;0;90.5;8.1;6.4;66.7
evry-Courcouronnes;5.6;927;6.6;89.7;61.1;30.7;0;93.2;8.7;6.1;50.9
Fontainebleau-Nemours;5.8;134.4;10.1;90.1;60.6;21.6;0;90.1;11.9;9.4;87.8
Marne-la-Vallee;6.1;685.1;5.8;92.9;66.3;34.4;0;94.8;7.9;8.2;51.3
Meaux;5.2;237.7;6.2;92;61.5;25.6;0;93;7;6.2;50.8
Melun;4.5;255.7;6.9;90.1;59.5;24.1;0;96;10.1;5.5;54.1
Paris;7.1;9157.8;7.3;90.4;64.4;53.1;4;91.6;6.7;11.4;65.6
Provins;3.7;54.7;9.1;91.1;54.3;14.1;0;91.1;11;5.6;79.2
Rambouillet;5.8;126.8;9.4;93.3;73.7;23.4;0;93.2;7.5;9.1;86.3
Roissy;5.1;1552.1;6;86.5;54;37.3;0;94.8;8.6;5.5;46.6
Saclay;5.4;1269.8;7.5;91.2;68.5;25.9;0;92.8;7.4;7.6;60.4
Seine-Yvelinoise;5.5;929.2;7.8;91.1;66.9;38.1;0;94.9;5.8;7;59.4
Versailles-Saint-Quentin;6.4;773.6;8.1;92.9;72.3;28.7;1;92.8;5.5;10;64.1
Blois;7;80.8;11.3;91.9;53.6;4.6;0;93.6;10.9;8.3;102.2
Bourges;5.5;50.9;12.2;90.7;51.4;3.9;0;88.5;11.4;6.8;117.3
Chartres;5.4;97.8;9.2;93.5;59.2;12.3;0;92;7.5;6;82.2
Chateaudun;5;39.1;13.6;89.5;48.4;3;0;85.5;11.9;3.8;125.6
Chateauroux;5.4;33.1;14.1;90.4;45.4;2.9;0;88.5;14.2;7;144.3
Chinon;9.3;52.5;13.2;92.1;48.3;3.3;0;93.5;15.7;7.5;132.1
Gien;5.1;33.1;13;90.8;50.5;1.8;0;89.5;10.9;5.9;122.5
Loches;9.1;25.2;15.7;93;43.4;2.2;0;90.4;15.5;5.1;166.5
Montargis;3.7;71.6;11.9;90.1;49.2;7;0;90.4;12.8;4.2;104.8
Orleans;6.5;145.8;8.9;92.2;58.1;11.5;0;91.4;7.7;11;74.7
Pithiviers;4.3;56.4;10;92.9;52.4;4.7;0;85.5;8.5;3.7;84.8
Romorantin-Lanthenay;5.6;36.1;14.8;91;46.8;2.5;0;87.7;13.5;6.4;152.3
Tours;9.7;149;10.4;92.8;53.9;10.8;1;92.8;9.1;10.9;91.1
Vendome;5.9;40.6;14.6;92;49.7;5.2;0;89.4;10;5.6;139.8
Vierzon;3.8;52.2;14.1;90.2;43.8;4.9;0;91.7;11.8;5.5;135.1
Autun;7.6;26.6;15.4;91.2;45.2;1.8;0;86.1;17.8;7.8;162
Auxerre;5.8;48.2;12;90.3;50.2;3.8;0;90.1;13.2;7.3;118.2
Avallon;6.4;16.6;15.5;87.7;46.2;2.3;0;83.6;13.7;7.5;189.7
Beaune;10;53.6;11.7;94.6;56.9;3.4;0;91.2;14.1;11.3;115.5
Belfort;6.5;149.1;9.8;90;51.8;5.8;0;88.9;13.5;6.2;91.8
Besancon;11.6;88;9.8;91.4;52.9;9;1;NA;13.1;14.3;85.3
